politie,152,police
bosch,149,bosch
den,138,pine
tilburg,107,tilburg
uur,91,hour
volgens,87,according to
jaar,76,year
mensen,67,people
gaat,62,going
man,51,man
onderzoek,50,research
twee,47,two
komen,46,come
rond,45,around
nederland,45,Netherlands
gemeente,44,town
brand,43,fire
gaan,42,go
zegt,41,says
tussen,38,between
weer,38,again
auto,37,car
werden,37,were
alle,37,all
oss,36,oss
aantal,35,number
arriva,35,arriva
tijd,33,time
vrijdag,32,Friday
mogelijk,32,possible
moeten,32,must
drie,32,three
ongeluk,31,accident
eerste,31,first
euro,31,euro
2,30,2
eerder,30,previously
update,30,update
mee,30,it
staat,29,state
kwam,29,came
zaterdag,29,Saturday
binnen,29,within
plaats,28,place
waar,28,TRUE
tijdens,28,during
verdachten,28,suspects
brabant,28,brabant
goed,27,good
ging,27,went
later,27,later
dagblad,26,daily
aldus,26,thus
agenten,26,agents
grote,26,great
weg,26,way
asielzoekers,26,asylum seekers
afgelopen,26,last
brabants,25,brabants
staan,25,stand
gemeenten,25,municipalities
totaal,25,total
verder,25,more
heel,25,very
laatste,25,last
vanaf,25,since
opvang,25,shelter
slachtoffer,25,victim
aangehouden,24,arrested
moment,24,moment
bekend,24,known
mei,24,May
ministerie,24,ministry
bussen,23,buses
via,23,through
bus,23,bus
dinsdag,23,Tuesday
weten,23,know
weken,23,soak
staking,23,strike
nieuwe,23,new
doet,23,do
meldt,23,reports
vier,23,four
1,23,1
bossche,22,bossche
museum,22,museum
vooral,22,especially
nadat,22,after
chauffeurs,22,drivers
kwamen,22,came
woordvoerder,21,spokesman
geld,21,money
woning,21,house
brandweer,21,fire department
uden,21,uden
alleen,21,only
dag,21,day
c,21,c
willen,21,want
